GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
swe-gruppe09,feedback.application.service,FeedbackService,35,100,6,6,7,24,7,6,1,6
swe-gruppe09,feedback.application.service,StatusService,0,30,0,0,0,10,0,4,0,4
swe-gruppe09,feedback.ui.controller,FeedbackFormController,66,0,0,0,22,0,4,0,4,0
swe-gruppe09,feedback.application,FeedbackApplication,60,0,0,0,16,0,5,0,5,0
swe-gruppe09,feedback.service,FeedbackService,31,93,6,6,6,22,6,5,0,5
swe-gruppe09,feedback.service,StatusService,0,34,0,0,0,11,0,5,0,5
swe-gruppe09,feedback.aspect,PerformanceAspect,26,0,0,0,7,0,3,0,3,0
swe-gruppe09,feedback.validation,InputValidator,4,21,2,2,1,4,3,4,1,4
swe-gruppe09,feedback,Main,93,0,4,0,25,0,5,0,3,0
swe-gruppe09,feedback.domain.model,Feedback,30,46,0,0,15,14,8,7,8,7
swe-gruppe09,feedback.infrastructure,FeedbackController,32,0,0,0,12,0,5,0,5,0
swe-gruppe09,feedback.repository,MockFeedbackRepository,1,46,1,3,0,10,1,6,0,5
swe-gruppe09,feedback.infrastructure.repository,MockFeedbackRepository,4,46,1,3,1,10,2,6,1,5
swe-gruppe09,feedback.exceptions.validation,InputValidator,4,21,2,2,1,4,3,4,1,4
swe-gruppe09,status.domain.model,Status,0,35,0,0,0,8,0,3,0,3
swe-gruppe09,feedback.domain,Feedback,37,36,0,0,14,13,8,6,8,6
swe-gruppe09,feedback.domain,Status,0,35,0,0,0,8,0,3,0,3
